Fiscal Year,County,Region,Children Receiving Adoption Subsidy,Federally Funded (Title IV-E),State Paid
2023,Anderson,4-Tyler,140,128,12
2023,Andrews,9-Midland,42,40,2
2023,Angelina,5-Beaumont,241,232,9
2023,Aransas,11-Edinburg,140,139,1
2023,Archer,2-Abilene,5,5,0
2023,Armstrong,1-Lubbock,3,3,0
2023,Atascosa,8-San Antonio,379,347,32
2023,Austin,6-Houston,24,24,0
2023,Bailey,1-Lubbock,19,19,0
2023,Bandera,8-San Antonio,98,92,6
2023,Bastrop,7-Austin,306,256,50
2023,Baylor,2-Abilene,1,1,0
2023,Bee,11-Edinburg,92,88,4
2023,Bell,7-Austin,1246,1110,136
2023,Bexar,8-San Antonio,9768,8863,905
2023,Blanco,7-Austin,30,27,3
2023,Bosque,7-Austin,70,65,5
2023,Bowie,4-Tyler,134,121,13
2023,Brazoria,6-Houston,265,253,12
2023,Brazos,7-Austin,333,306,27
2023,Brewster,10-El Paso,10,10,0
2023,Briscoe,1-Lubbock,4,4,0
2023,Brooks,11-Edinburg,17,17,0
2023,Brown,2-Abilene,271,260,11
2023,Burleson,7-Austin,51,45,6
2023,Burnet,7-Austin,226,198,28
2023,Caldwell,7-Austin,205,195,10
2023,Calhoun,8-San Antonio,24,23,1
2023,Callahan,2-Abilene,36,36,0
2023,Cameron,11-Edinburg,289,281,8
2023,Camp,4-Tyler,45,38,7
2023,Carson,1-Lubbock,20,20,0
2023,Cass,4-Tyler,62,58,4
2023,Castro,1-Lubbock,23,21,2
2023,Chambers,6-Houston,37,33,4
2023,Cherokee,4-Tyler,206,192,14
2023,Childress,1-Lubbock,24,21,3
2023,Clay,2-Abilene,11,10,1
2023,Cochran,1-Lubbock,3,2,1
2023,Coke,9-Midland,10,10,0
2023,Coleman,2-Abilene,28,28,0
2023,Collin,3-Arlington,679,629,50
2023,Collingsworth,1-Lubbock,16,16,0
2023,Colorado,6-Houston,49,48,1
2023,Comal,8-San Antonio,416,373,43
2023,Comanche,2-Abilene,35,35,0
2023,Concho,9-Midland,2,2,0
2023,Cooke,3-Arlington,135,127,8
2023,Coryell,7-Austin,211,195,16
2023,Crane,9-Midland,5,5,0
2023,Crockett,9-Midland,11,11,0
2023,Crosby,1-Lubbock,25,25,0
2023,Culberson,10-El Paso,5,5,0
2023,Dallam,1-Lubbock,27,27,0
2023,Dallas,3-Arlington,3086,2924,162
2023,Dawson,9-Midland,50,47,3
2023,DeWitt,8-San Antonio,55,49,6
2023,Deaf Smith,1-Lubbock,53,51,2
2023,Delta,4-Tyler,16,13,3
2023,Denton,3-Arlington,974,909,65
2023,Dickens,1-Lubbock,4,4,0
2023,Dimmit,8-San Antonio,61,57,4
2023,Donley,1-Lubbock,13,13,0
2023,Duval,11-Edinburg,24,23,1
2023,Eastland,2-Abilene,35,34,1
2023,Ector,9-Midland,519,481,38
2023,Edwards,8-San Antonio,4,4,0
2023,El Paso,10-El Paso,917,895,22
2023,Ellis,3-Arlington,220,208,12
2023,Erath,3-Arlington,45,44,1
2023,Falls,7-Austin,43,43,0
2023,Fannin,3-Arlington,95,90,5
2023,Fayette,7-Austin,79,70,9
2023,Fisher,2-Abilene,6,5,1
2023,Floyd,1-Lubbock,20,20,0
2023,Foard,2-Abilene,2,2,0
2023,Fort Bend,6-Houston,301,286,15
2023,Franklin,4-Tyler,26,22,4
2023,Freestone,7-Austin,37,33,4
2023,Frio,8-San Antonio,181,162,19
2023,Gaines,9-Midland,44,42,2
2023,Galveston,6-Houston,522,510,12
2023,Garza,1-Lubbock,7,6,1
2023,Gillespie,8-San Antonio,48,39,9
2023,Goliad,8-San Antonio,5,5,0
2023,Gonzales,8-San Antonio,59,55,4
2023,Gray,1-Lubbock,98,87,11
2023,Grayson,3-Arlington,314,290,24
2023,Gregg,4-Tyler,408,380,29
2023,Grimes,7-Austin,54,52,2
2023,Guadalupe,8-San Antonio,301,281,20
2023,Hale,1-Lubbock,110,107,3
2023,Hall,1-Lubbock,7,7,0
2023,Hamilton,7-Austin,19,19,0
2023,Hansford,1-Lubbock,7,7,0
2023,Hardeman,2-Abilene,5,5,0
2023,Hardin,5-Beaumont,88,81,7
2023,Harris,6-Houston,7655,7123,532
2023,Harrison,4-Tyler,131,120,11
2023,Hartley,1-Lubbock,5,5,0
2023,Haskell,2-Abilene,25,25,0
2023,Hays,7-Austin,480,453,27
2023,Hemphill,1-Lubbock,9,9,0
2023,Henderson,4-Tyler,303,266,37
2023,Hidalgo,11-Edinburg,223,223,0
2023,Hill,7-Austin,127,120,7
2023,Hockley,1-Lubbock,126,123,3
2023,Hood,3-Arlington,123,116,7
2023,Hopkins,4-Tyler,138,126,12
2023,Houston,5-Beaumont,66,66,0
2023,Howard,9-Midland,118,112,6
2023,Hudspeth,10-El Paso,1,1,0
2023,Hunt,3-Arlington,476,439,37
2023,Hutchinson,1-Lubbock,50,48,2
2023,Irion,9-Midland,3,3,0
2023,Jack,2-Abilene,4,4,0
2023,Jackson,8-San Antonio,44,43,1
2023,Jasper,5-Beaumont,140,136,4
2023,Jefferson,5-Beaumont,698,649,49
2023,Jim Hogg,11-Edinburg,7,7,0
2023,Jim Wells,11-Edinburg,83,76,7
2023,Johnson,3-Arlington,421,399,22
2023,Jones,2-Abilene,38,38,0
2023,Karnes,8-San Antonio,64,62,2
2023,Kaufman,3-Arlington,277,255,22
2023,Kendall,8-San Antonio,65,59,6
2023,Kerr,8-San Antonio,242,201,41
2023,Kimble,9-Midland,15,15,0
2023,Kinney,8-San Antonio,9,9,0
2023,Kleberg,11-Edinburg,78,74,4
2023,Knox,2-Abilene,6,6,0
2023,La Salle,8-San Antonio,32,24,8
2023,Lamar,4-Tyler,126,117,9
2023,Lamb,1-Lubbock,34,33,1
2023,Lampasas,7-Austin,76,71,5
2023,Lavaca,8-San Antonio,51,48,3
2023,Lee,7-Austin,39,38,1
2023,Leon,7-Austin,24,22,2
2023,Liberty,6-Houston,201,187,14
2023,Limestone,7-Austin,57,50,7
2023,Lipscomb,1-Lubbock,7,7,0
2023,Live Oak,11-Edinburg,31,30,1
2023,Llano,7-Austin,86,81,5
2023,Lubbock,1-Lubbock,1615,1527,88
2023,Lynn,1-Lubbock,8,8,0
2023,Madison,7-Austin,35,33,2
2023,Marion,4-Tyler,23,23,0
2023,Martin,9-Midland,1,1,0
2023,Mason,9-Midland,8,8,0
