YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,%PovertyLevel,Age(years),BirthOrder,Education,Gender,MaritalStatus,Metropolitan,Race/Ethnicity,WICParticipation,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,58.3,58.3,,,56.9,59.6,20016.0,Total,,,,,,,,,,,BF,BF1,Q005,VALUE,59,Total,Total,OVR,OVERALL
2005,2005,NY,New York,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,74.6,74.6,,,70.8,78.1,770.0,Total,,,,,,,,,,"(42.82700103200045, -75.54397042699964)",BF,BF1,Q006,VALUE,36,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,35.3,35.3,,,33.9,36.6,20016.0,Total,,,,,,,,,,,BF,BF1,Q004,VALUE,59,Total,Total,OVR,OVERALL
2018,2018,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,34.4,34.4,,,32.9,36.0,11222.0,,,,,,Male,,,,,,BF,BF1,Q004,VALUE,59,Gender,Male,GEN,MALE
2019,2019,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,19.1,19.1,,,17.0,21.4,4737.0,,,20 - 29,,,,,,,,,BF,BF1,Q003,VALUE,59,Age (years),20 - 29,AGEYR,AGEYR2029
2005,2005,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,43.8,43.8,,,42.3,45.4,9823.0,,,,,College graduate,,,,,,,BF,BF1,Q007,VALUE,59,Education,College graduate,EDU,EDUCOGRAD
2019,2019,WA,Washington,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,35.2,35.2,,,29.1,41.9,371.0,Total,,,,,,,,,,"(47.52227862900048, -120.47001078999972)",BF,BF1,Q002,VALUE,53,Total,Total,OVR,OVERALL
2019,2019,WV,West Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,34.2,34.2,,,24.3,45.7,87.0,Total,,,,,,,,,,"(38.66551020200046, -80.71264013499967)",BF,BF1,Q002,VALUE,54,Total,Total,OVR,OVERALL
2019,2019,WI,Wisconsin,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,22.3,22.3,,,15.9,30.4,169.0,Total,,,,,,,,,,"(44.39319117400049, -89.81637074199966)",BF,BF1,Q002,VALUE,55,Total,Total,OVR,OVERALL
2019,2019,VT,Vermont,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,27.1,27.1,,,21.0,34.2,244.0,Total,,,,,,,,,,"(43.62538123900049, -72.51764079099962)",BF,BF1,Q002,VALUE,50,Total,Total,OVR,OVERALL
2019,2019,WY,Wyoming,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,27.4,27.4,,,20.2,36.0,190.0,Total,,,,,,,,,,"(43.23554134300048, -108.10983035299967)",BF,BF1,Q002,VALUE,56,Total,Total,OVR,OVERALL
2018,2018,MO,Missouri,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,28.4,28.4,,,22.2,35.6,282.0,Total,,,,,,,,,,"(38.635790776000476, -92.56630005299968)",BF,BF1,Q002,VALUE,29,Total,Total,OVR,OVERALL
2018,2018,OR,Oregon,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,93.7,93.7,,,89.4,96.4,295.0,Total,,,,,,,,,,"(44.56744942400047, -120.15503132599969)",BF,BF1,Q006,VALUE,41,Total,Total,OVR,OVERALL
2018,2018,GA,Georgia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,32.4,32.4,,,24.5,41.4,211.0,Total,,,,,,,,,,"(32.83968109300048, -83.62758034599966)",BF,BF1,Q002,VALUE,13,Total,Total,OVR,OVERALL
2018,2018,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,30.4,30.4,,,27.9,33.1,3572.0,,400 - 599,,,,,,,,,,BF,BF1,Q008,VALUE,59,% Poverty Level,400 - 599,POV,POV400599
2018,2018,MI,Michigan,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,53.9,53.9,,,47.9,59.8,485.0,Total,,,,,,,,,,"(44.6613195430005, -84.71439026999968)",BF,BF1,Q005,VALUE,26,Total,Total,OVR,OVERALL
2018,2018,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,61.5,61.5,,,60.0,62.9,14770.0,,,30 or older,,,,,,,,,BF,BF1,Q005,VALUE,59,Age (years),30 or older,AGEYR,AGEYR30PLUS
2018,2018,NE,Nebraska,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,19.7,19.7,,,14.3,26.4,241.0,Total,,,,,,,,,,"(41.6410409880005, -99.36572062299967)",BF,BF1,Q003,VALUE,31,Total,Total,OVR,OVERALL
2018,2018,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,23.0,23.0,,,21.5,24.7,7970.0,,,,First born,,,,,,,,BF,BF1,Q008,VALUE,59,Birth Order,First born,BO,BOFIRST
2017,2017,PR,Puerto Rico,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,Total,,,,,,,,,,"(18.220833, -66.590149)",BF,BF1,Q002,VALUE,72,Total,Total,OVR,OVERALL
2018,2018,WV,West Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,29.9,29.9,,,24.4,36.0,286.0,Total,,,,,,,,,,"(38.66551020200046, -80.71264013499967)",BF,BF1,Q007,VALUE,54,Total,Total,OVR,OVERALL
